x,y,value
76.70630764649275,12.284712699730095,0
76.70658340192472,12.284710980793095,0
76.70685915731512,12.284709261578639,0
76.70713491266395,12.284707542086725,0
76.70741066797116,12.284705822317354,0
76.70768642323681,12.28470410227053,0
76.70796217846083,12.284702381946248,0
76.70823793364325,12.28470066134451,0
76.70851368878407,12.284698940465317,0
76.70630589868281,12.284441524726981,0
76.70658165383266,12.284439805829068,0
76.70685740894093,12.284438086653704,0
76.70713316400762,12.284436367200891,0
76.70740891903272,12.284434647470627,0
76.70768467401624,12.284432927462914,2
76.70796042895813,12.284431207177752,0
76.70823618385842,12.28442948661514,0
76.70630415091445,12.284170349718265,0
76.70657990578218,12.284168630859439,0
76.70685566060833,12.284166911723167,0
76.7071314153929,12.284165192309455,0
76.70740717013587,12.284163472618296,0
76.70768292483726,12.284161752649695,0
76.70795867949704,12.28416003240365,0
76.70823443411521,12.284158311880164,0
76.70630240318765,12.283899174703938,0
76.70657815777327,12.283897455884201,0
76.7068539123173,12.283895736787024,2
76.70712966681975,12.28389401741241,2
76.70740542128061,12.283892297760358,2
76.70768117569989,12.283890577830869,0
76.70795693007756,12.283888857623943,0
76.7082326844136,12.28388713713958,0
76.70630065550242,12.283627999684011,0
76.70657640980593,12.28362628090336,0
76.70685216406785,12.283624561845274,2
76.7071279182882,12.283622842509759,3
76.70740367246695,12.283621122896815,2
76.70767942660412,12.283619403006435,2
76.70795518069967,12.28361768283863,0
76.70823093475363,12.283615962393391,0
76.70629890785877,12.283356824658476,0
76.70657466188017,12.283355105916911,2
76.70685041585999,12.283353386897922,2
76.70712616979823,12.283351667601506,2
76.70740192369489,12.283349948027665,3
76.70767767754995,12.2833482281764,2
76.70795343136339,12.28334650804771,2
76.70822918513527,12.283344787641598,0
76.70629716025667,12.283085649627337,0
76.70657291399597,12.283083930924857,2
76.70684866769369,12.283082211944961,3
76.70712442134985,12.283080492687644,3
76.7074001749644,12.283078773152909,3
76.70767592853737,12.283077053340756,2
76.70795168206874,12.283075333251185,2
76.7082274355585,12.283073612884197,2
76.70629541269615,12.282814474590596,2
76.70657116615337,12.282812755927203,3
76.706846919569,12.282811036986399,3
76.70712267294306,12.282809317768182,3
76.70739842627553,12.282807598272553,3
76.70767417956641,12.282805878499511,2
76.7079499328157,12.282804158449059,0
76.70822568602335,12.282802438121195,0
76.70629366517718,12.282543299548248,0
76.70656941835232,12.282541580923942,3
76.70684517148587,12.282539862022231,3
76.70712092457785,12.282538142843112,1
76.70739667762825,12.28253642338659,1
76.70767243063705,12.28253470365266,0
76.70794818360424,12.282532983641325,0
76.70822393652983,12.282531263352586,0
