Time,NDWI
"Jan 23, 2020",0.226
"Feb 2, 2020",0.234
"Feb 12, 2020",0.269
"Feb 17, 2020",0.154
"Mar 3, 2020",-0.139
"Mar 18, 2020",-0.164
"Mar 18, 2020",-0.166
"Apr 2, 2020",-0.215
"Apr 7, 2020",-0.211
"Apr 17, 2020",-0.195
"Oct 19, 2020",0.062
"Oct 29, 2020",0.212
"Nov 3, 2020",0.13
"Nov 8, 2020",0.221
"Nov 13, 2020",0.292
"Nov 23, 2020",0.268
"Nov 28, 2020",0.263
"Dec 3, 2020",0.106
"Dec 18, 2020",0.35
"Dec 23, 2020",0.252
"Dec 28, 2020",0.259
"Jan 7, 2021",0.356
"Feb 1, 2021",0.19
"Feb 11, 2021",0.09
"Feb 16, 2021",0.138
"Feb 21, 2021",0.035
"Feb 26, 2021",-0.038
"Mar 3, 2021",-0.131
"Mar 8, 2021",-0.144
"Mar 28, 2021",-0.194
"Apr 2, 2021",-0.212
"Apr 7, 2021",-0.161
"Apr 17, 2021",-0.16
"May 17, 2021",-0.175
"Nov 3, 2021",0.064
"Nov 8, 2021",0.052
"Nov 18, 2021",0.278
"Nov 23, 2021",0.259
"Dec 8, 2021",0.353
"Dec 13, 2021",0.17
"Dec 18, 2021",0.141
"Jan 7, 2022",0.289
"Feb 1, 2022",0.12
"Feb 16, 2022",0.113
"Feb 21, 2022",0.084
"Mar 3, 2022",0.096
"Mar 8, 2022",0.091
"Mar 13, 2022",0.085
"Mar 18, 2022",0.002
"Mar 23, 2022",-0.052
"Mar 28, 2022",-0.079
"Apr 7, 2022",-0.118
"Apr 17, 2022",-0.132
"Apr 27, 2022",-0.14
"May 27, 2022",-0.143
"Jun 11, 2022",-0.144
